ID Escola,ID Inep,Escola,DRE,Tipo de Ensino,Possui 3o Ano,Área Urbana,Categoria,SAEB 23 Taxa Participação,SAEB 23 Nota Média PT,SAEB 23 Nota Média Mat,SAESE 24 Proficiência PT,SAESE 24 Proficiência MAT,Participação Avaliação Diagnóstica,Rendimento Médio Língua Portuguesa Avaliação Diagnóstica,Rendimento Médio Matemática Avaliação Diagnóstica,Número de Alunos,Participação Avaliação Formativa,Rendimento LP Avaliação Formativa,Rendimento MAT Avaliação Formativa
14202515,28008677,COLÉGIO ESTADUAL PROFESSOR JOÃO DE OLIVEIRA,DRE02,Ensino Médio Parcial,Sim,Urbana,Regular,"92,93%","274,36","266,74","262,1","251,4",90%,46%,38%,569,"94,2%","54,43%","46,4%"
14202576,28012542,COLÉGIO ESTADUAL DOUTOR OSMAN HORA FONTES,DRE02,Ensino Médio Parcial,Sim,Urbana,Regular,"100,00%","254,34","258,16","259,3","255,3",89%,39%,36%,282,"96,3%","44,41%","50,0%"
14202533,28031644,COLÉGIO ESTADUAL CARMEM DO PRADO DANTAS AMARAL,DRE02,Ensino Médio Parcial,Sim,Urbana,Regular,,,,,,96%,39%,27%,231,"100,0%","36,62%","40,0%"
14202479,28009398,CENTRO DE EXCELÊNCIA DR MILTON DORTAS,DRE02,Ensino Médio Integral,Sim,Urbana,Regular,"93,46%","288,33","273,38","276,4","267,3",99%,51%,43%,453,"99,4%","55,40%","56,8%"
14202512,28026667,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO EM  TEMPO INTEGRAL DOM MÁRIO RINO SIVIERI,DRE02,Ensino Médio Parcial,Sim,Urbana,Regular,,,,"262,1","250,9",87%,41%,32%,424,"90,5%","42,17%","40,8%"
14202910,28010817,COLÉGIO ESTADUAL PROFESSORA MARIA LUCILENE DE ALMEIDA SANTOS,DRE02,Ensino Médio Parcial,Sim,Urbana,Regular,,,,"260,2","256,9",93%,48%,29%,258,"97,1%","48,31%","35,2%"
14202757,28012151,COLÉGIO ESTADUAL NAPOLEÃO DE MENEZES ALVES,DRE02,Ensino Médio Parcial,Sim,Rural,Regular,"89,77%","242,07","242,88","266,5","257,7",92%,55%,54%,209,"93,4%","72,08%","70,8%"
14202748,28011104,CENTRO DE EXCELÊNCIA PROFESSOR ABELARDO ROMERO DANTAS,DRE02,Ensino Médio Integral,Sim,Urbana,Regular,"94,31%","293,12","285,62","288,1","282,8",94%,58%,50%,496,"93,7%","70,43%","75,6%"
14202762,28011058,COLEGIO ESTADUAL LUIZ ALVES DE OLIVEIRA,DRE02,Ensino Médio Parcial,Sim,Rural,Regular,"92,09%","267,72","260,72","262,5","249,4",89%,46%,34%,392,"80,9%","47,59%","46,6%"
14202545,28010132,COLEGIO ESTADUAL ABELARDO BARRETO DO ROSARIO,DRE02,Ensino Médio Parcial,Sim,Urbana,Regular,"90,17%","271,14","265,45","272,6","262,4",48%,42%,44%,691,"88,1%","58,41%","53,7%"
14202904,28009851,COLÉGIO ESTADUAL FAUSTO CARDOSO,DRE02,Ensino Médio Parcial,Sim,Urbana,Regular,"98,71%","287,76","275,85","270,6","268,1",93%,64%,61%,436,"88,1%","77,40%","72,9%"
14202621,28008782,CENTRO DE EXCELÊNCIA EPIFÂNIO DÓRIA,DRE02,Ensino Médio Integral,Sim,Urbana,Regular,"97,83%","295,78","285,83","294,8","304,2",92%,58%,37%,185,"97,9%","66,12%","49,6%"
14202778,28010450,CENTRO DE EXCELÊNCIA MARIA ROSA DE OLIVEIRA,DRE02,Ensino Médio Integral,Sim,Urbana,Regular,"97,22%","312,76","300,98","303,7","299,5",96%,50%,33%,204,"94,5%","57,84%","43,3%"
14202603,28037456,COLEGIO  ESTADUAL PROFESSORA JOSEFA ALVES DE ALMEIDA,DRE02,Ensino Médio Parcial,Sim,Rural,Regular,"91,30%","269,09","266,83","268,7","262,5",88%,40%,35%,275,"93,6%","49,65%","48,2%"
14202564,28012143,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO EM TEMPO INTEGRAL LOURIVAL FONTES,DRE02,Ensino Médio Integral,Sim,Urbana,Regular,,,,,,93%,50%,41%,56,"93,3%","74,36%","57,7%"
14202480,28009487,COLEGIO ESTADUAL SENADOR LOURIVAL BAPTISTA,DRE02,Ensino Médio Parcial,Sim,Rural,Regular,"88,06%","272,75","257,54","273,3","261,6",85%,43%,39%,259,"91,5%","57,65%","60,6%"
14202799,28011074,COLÉGIO ESTADUAL MONSENHOR JUAREZ SANTOS PRATA,DRE02,Ensino Médio Parcial,Sim,Rural,Regular,"104,35%","256,7","255,04","253,1",247,85%,42%,27%,124,"91,2%","68,55%","67,7%"
14202607,28007190,COLÉGIO ESTADUAL PROFESSOR NESTOR CARVALHO LIMA,DRE03,Ensino Médio Parcial,Sim,Urbana,Regular,"94,56%","266,05","268,77","242,9","254,3",74%,43%,52%,874,"88,4%","40,50%","40,0%"
14202492,28004701,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO EM TEMPO INTEGRAL PROFESSORA ANITA PASSOS DE OLIVEIRA,DRE03,Ensino Médio Integral,Sim,Urbana,Regular,"85,71%","257,24","259,91","258,4","256,9",98%,43%,42%,208,"90,2%","43,94%","50,2%"
14202472,28007867,COLEGIO ESTADUAL MARCOLINO CRUZ SANTOS,DRE03,Ensino Médio Parcial,Sim,Urbana,Regular,"91,80%","265,3","264,57","277,2","254,9",90%,36%,26%,231,"93,0%","39,95%","38,3%"
14202902,28003551,COLEGIO ESTADUAL PROFESSOR ARTUR FORTES,DRE03,Ensino Médio Parcial,Sim,Urbana,Regular,"81,98%","261,7","253,82",238,"240,2",82%,43%,41%,593,"87,5%","44,19%","48,0%"
14202489,28008235,COLÉGIO ESTADUAL DJENAL TAVARES DE QUEIROZ,DRE03,Ensino Médio Parcial,Sim,Urbana,Regular,"97,50%","264,77","279,9","279,7","275,3",97%,57%,54%,351,"91,6%","60,73%","61,6%"
14202487,28006720,COLÉGIO ESTADUAL GUILHERME CAMPOS,DRE03,Ensino Médio Parcial,Sim,Urbana,Regular,"98,44%","281,85","272,24","281,9","269,7",85%,50%,44%,433,"89,2%","57,68%","51,5%"
14202488,28007000,COLÉGIO ESTADUAL MURILO BRAGA,DRE03,Ensino Profissional,Sim,Urbana,Regular,"69,45%",,,"233,9","236,8",12%,39%,31%,1.212,"82,8%","41,96%","40,7%"
14202486,28006739,CENTRO DE EXCELÊNCIA ROQUE JOSÉ DE SOUZA,DRE03,Ensino Médio Integral,Sim,Urbana,Regular,"87,27%","244,09","240,8","254,5","258,4",100%,56%,65%,195,"98,1%","70,35%","84,2%"
14202622,28004060,CENTRO DE EXCELÊNCIA PROFESSOR GENTIL TAVARES DA MOTA,DRE03,Ensino Médio Integral,Sim,Urbana,Regular,"91,51%","251,86","248,66","266,6","249,6",95%,36%,39%,343,"87,0%","42,34%","43,7%"
14202546,28007816,COLÉGIO ESTADUAL EDUARDO SILVEIRA,DRE03,Ensino Médio Parcial,Sim,Urbana,Regular,"82,64%","272,48","267,47",264,"256,7",91%,50%,38%,823,"89,7%","49,00%","46,5%"
14202903,28006542,COLÉGIO ESTADUAL DEPUTADO GUIDO AZEVEDO,DRE03,Ensino Médio Parcial,Sim,Urbana,Regular,"79,57%",,,"246,8","241,5",82%,53%,44%,434,"83,2%","54,80%","48,7%"
14202813,28004264,COLÉGIO ESTADUAL JOÃO SALONIO,DRE03,Ensino Médio Parcial,Sim,Urbana,Regular,"84,51%","260,61","261,1","257,8",268,74%,34%,28%,289,"93,2%","33,57%","29,4%"
